model	stat	decile	log10_lo	log10_hi	chars_lo	chars_hi	n	num	den	pct	ci_lo	ci_hi
claude-sonnet-4-6	SR	9	5.1964	5.3861	157171	243267	533	339	533	63.60	59.43	67.58
claude-sonnet-4-6	CM	0	3.4890	3.6787	3083	4772	482	403	481	83.78	80.22	86.81
claude-sonnet-4-6	CM	1	3.6787	3.8684	4772	7386	494	408	493	82.76	79.17	85.84
claude-sonnet-4-6	CM	2	3.8684	4.0581	7386	11432	472	385	469	82.09	78.36	85.29
claude-sonnet-4-6	CM	3	4.0581	4.2478	11432	17694	483	390	483	80.75	76.99	84.01
claude-sonnet-4-6	CM	4	4.2478	4.4375	17694	27386	492	388	491	79.02	75.20	82.39
claude-sonnet-4-6	CM	5	4.4375	4.6272	27386	42388	506	381	504	75.60	71.66	79.14
claude-sonnet-4-6	CM	6	4.6272	4.8170	42388	65607	563	416	562	74.02	70.24	77.48
claude-sonnet-4-6	CM	7	4.8170	5.0067	65607	101546	416	301	416	72.36	67.87	76.43
claude-sonnet-4-6	CM	8	5.0067	5.1964	101546	157171	497	360	497	72.43	68.35	76.18
claude-sonnet-4-6	CM	9	5.1964	5.3861	157171	243267	533	377	533	70.73	66.73	74.44
claude-sonnet-4-6	MUE	0	3.4890	3.6787	3083	4772	482	441	481	91.68	88.87	93.83
claude-sonnet-4-6	MUE	1	3.6787	3.8684	4772	7386	494	454	493	92.09	89.37	94.16
claude-sonnet-4-6	MUE	2	3.8684	4.0581	7386	11432	472	425	469	90.62	87.64	92.94
claude-sonnet-4-6	MUE	3	4.0581	4.2478	11432	17694	483	421	483	87.16	83.88	89.86
claude-sonnet-4-6	MUE	4	4.2478	4.4375	17694	27386	492	428	491	87.17	83.92	89.84
claude-sonnet-4-6	MUE	5	4.4375	4.6272	27386	42388	506	437	504	86.71	83.46	89.39
claude-sonnet-4-6	MUE	6	4.6272	4.8170	42388	65607	563	481	562	85.59	82.44	88.25
claude-sonnet-4-6	MUE	7	4.8170	5.0067	65607	101546	416	359	416	86.30	82.66	89.27
claude-sonnet-4-6	MUE	8	5.0067	5.1964	101546	157171	497	425	497	85.51	82.15	88.34
claude-sonnet-4-6	MUE	9	5.1964	5.3861	157171	243267	533	443	533	83.11	79.70	86.06
